timestamp,pod_status,restart_count,note
2025-07-09 16:23:15,Running,0,monitoring
2025-07-09 16:23:16,Running,0,monitoring
2025-07-09 16:23:17,Running,0,monitoring
2025-07-09 16:23:18,Running,0,monitoring
2025-07-09 16:23:20,Running,0,monitoring
2025-07-09 16:23:21,Running,0,monitoring
2025-07-09 16:23:22,Running,0,monitoring
2025-07-09 16:23:23,Running,0,monitoring
2025-07-09 16:23:24,Running,0,monitoring
2025-07-09 16:23:25,Running,0,monitoring
2025-07-09 16:23:26,Running,0,monitoring
2025-07-09 16:23:27,Running,0,monitoring
2025-07-09 16:23:28,Running,0,monitoring
2025-07-09 16:23:29,Running,0,monitoring
2025-07-09 16:23:30,Running,0,monitoring
2025-07-09 16:23:32,Running,0,monitoring
2025-07-09 16:23:33,Running,0,monitoring
2025-07-09 16:23:34,Running,0,monitoring
2025-07-09 16:23:35,Running,0,monitoring
2025-07-09 16:23:36,Running,0,monitoring
2025-07-09 16:23:37,Running,0,monitoring
2025-07-09 16:23:38,Running,0,monitoring
2025-07-09 16:23:39,Running,0,monitoring
2025-07-09 16:23:40,Running,0,monitoring
2025-07-09 16:23:41,Running,0,monitoring
2025-07-09 16:23:43,Running,0,monitoring
2025-07-09 16:23:44,Running,0,monitoring
2025-07-09 16:23:45,Running,0,monitoring
2025-07-09 16:23:46,Running,0,monitoring
2025-07-09 16:23:47,Running,0,monitoring
2025-07-09 16:23:48,Running,0,monitoring
2025-07-09 16:23:49,Running,0,monitoring
2025-07-09 16:23:50,Running,0,monitoring
2025-07-09 16:23:51,Running,0,monitoring
2025-07-09 16:23:52,Running,0,monitoring
2025-07-09 16:23:54,Running,0,monitoring
2025-07-09 16:23:55,Running,0,monitoring
2025-07-09 16:23:56,Running,0,monitoring
2025-07-09 16:23:57,Running,0,monitoring
2025-07-09 16:23:58,Running,0,monitoring
2025-07-09 16:23:59,Running,0,monitoring
2025-07-09 16:24:00,Running,0,monitoring
2025-07-09 16:24:01,Running,0,monitoring
2025-07-09 16:24:02,Running,0,monitoring
2025-07-09 16:24:03,Running,0,monitoring
2025-07-09 16:24:05,Running,0,monitoring
2025-07-09 16:24:06,Running,0,monitoring
2025-07-09 16:24:07,Running,0,monitoring
2025-07-09 16:24:08,Running,0,monitoring
2025-07-09 16:24:09,Running,0,monitoring
2025-07-09 16:24:10,Running,0,monitoring
2025-07-09 16:24:11,Running,0,monitoring
2025-07-09 16:24:12,Running,0,monitoring
2025-07-09 16:24:13,Running,0,monitoring
2025-07-09 16:24:14,Running,0,monitoring
2025-07-09 16:24:16,Running,0,monitoring
2025-07-09 16:24:17,Running,0,monitoring
2025-07-09 16:24:18,Running,0,monitoring
2025-07-09 16:24:19,Running,0,monitoring
2025-07-09 16:24:20,Running,0,monitoring
2025-07-09 16:24:21,Running,0,monitoring
